id,name,description,demonstration_video_url,workout_day_id,animation_path,calories_per_set,default_duration,default_reps,default_sets,calories_per_minute,week,program_id
26,Swimming,Precision-engineered Swimming training method to optimize muscular strength and endurance.,https://example.com/swimming,6,https://example.com/swimming-animation.jpg,701.47,380,10,3,5.54,1,1
27,Tai Chi Movements,Intense Tai Chi Movements session focusing on full-body engagement and cardiovascular endurance.,https://example.com/tai-chi-movements,6,https://example.com/tai-chi-movements-animation.jpg,1136.55,438,15,2,5.19,1,1
28,Joint Mobility Exercises,Precision-engineered Joint Mobility Exercises training method to optimize muscular strength and endurance.,https://example.com/joint-mobility-exercises,6,https://example.com/joint-mobility-exercises-animation.jpg,1065.36,582,14,3,5.49,1,1
29,Tabata Intervals,Dynamic Tabata Intervals workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/tabata-intervals,6,https://example.com/tabata-intervals-animation.jpg,1199.74,414,11,2,5.8,1,1
30,Stretching Routines,"Strategically crafted Stretching Routines exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/stretching-routines,6,https://example.com/stretching-routines-animation.jpg,741.39,403,10,3,5.52,1,1
31,Side Planks,"Strategically crafted Side Planks exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/side-planks,7,https://example.com/side-planks-animation.jpg,564.14,369,10,3,4.59,1,1
32,Leg Raises,Precision-engineered Leg Raises training method to optimize muscular strength and endurance.,https://example.com/leg-raises,7,https://example.com/leg-raises-animation.jpg,667.51,413,14,3,4.85,1,1
33,Tricep Extensions,High-energy Tricep Extensions routine targeting comprehensive physical development and performance.,https://example.com/tricep-extensions,7,https://example.com/tricep-extensions-animation.jpg,814.95,313,11,2,5.21,1,1
34,Skater Hops,High-energy Skater Hops routine targeting comprehensive physical development and performance.,https://example.com/skater-hops,7,https://example.com/skater-hops-animation.jpg,680.19,387,15,3,5.27,1,1
35,Pilates,High-energy Pilates routine targeting comprehensive physical development and performance.,https://example.com/pilates,7,https://example.com/pilates-animation.jpg,987.89,455,14,2,4.34,1,1
36,Box Jumps,"Strategically crafted Box Jumps exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/box-jumps,1,https://example.com/box-jumps-animation.jpg,1118.61,426,14,2,5.25,2,2
37,Cross-Country Skiing,Precision-engineered Cross-Country Skiing training method to optimize muscular strength and endurance.,https://example.com/cross-country-skiing,1,https://example.com/cross-country-skiing-animation.jpg,1513.84,514,15,2,5.89,2,2
38,Hanging Leg Raises,Intense Hanging Leg Raises session focusing on full-body engagement and cardiovascular endurance.,https://example.com/hanging-leg-raises,1,https://example.com/hanging-leg-raises-animation.jpg,1018.33,517,14,3,5.91,2,2
39,Squats,High-energy Squats routine targeting comprehensive physical development and performance.,https://example.com/squats,1,https://example.com/squats-animation.jpg,560.39,367,14,3,4.58,2,2
40,Kettlebell Swings,Dynamic Kettlebell Swings workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/kettlebell-swings,1,https://example.com/kettlebell-swings-animation.jpg,880.82,394,14,2,4.47,2,2
41,Swimming,Precision-engineered Swimming training method to optimize muscular strength and endurance.,https://example.com/swimming,2,https://example.com/swimming-animation.jpg,1298.47,495,15,2,5.25,2,2
42,Pilates,Dynamic Pilates workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/pilates,2,https://example.com/pilates-animation.jpg,681.08,402,14,3,5.08,2,2
43,Bench Press,High-energy Bench Press routine targeting comprehensive physical development and performance.,https://example.com/bench-press,2,https://example.com/bench-press-animation.jpg,612.98,340,15,3,5.41,2,2
44,Box Jumps,Dynamic Box Jumps workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/box-jumps,2,https://example.com/box-jumps-animation.jpg,489.5,339,12,3,4.33,2,2
45,Stretching Routines,Intense Stretching Routines session focusing on full-body engagement and cardiovascular endurance.,https://example.com/stretching-routines,2,https://example.com/stretching-routines-animation.jpg,713.2,352,13,2,4.05,2,2
46,TRX Suspension Training,Dynamic TRX Suspension Training workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/trx-suspension-training,3,https://example.com/trx-suspension-training-animation.jpg,942.77,518,10,3,5.46,2,2
47,Elliptical Training,"Strategically crafted Elliptical Training exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/elliptical-training,3,https://example.com/elliptical-training-animation.jpg,1100.53,387,13,2,5.69,2,2
48,Dips,Dynamic Dips workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/dips,3,https://example.com/dips-animation.jpg,667.28,350,11,3,5.72,2,2
49,Jump Rope,High-energy Jump Rope routine targeting comprehensive physical development and performance.,https://example.com/jump-rope,3,https://example.com/jump-rope-animation.jpg,684.0,400,10,3,5.13,2,2
50,Foam Rolling,"Strategically crafted Foam Rolling exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/foam-rolling,3,https://example.com/foam-rolling-animation.jpg,862.23,585,15,3,4.42,2,2
51,Squats,"Strategically crafted Squats exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/squats,4,https://example.com/squats-animation.jpg,1117.4,445,10,2,5.02,2,2
52,Dynamic Stretching,Dynamic Dynamic Stretching workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/dynamic-stretching,4,https://example.com/dynamic-stretching-animation.jpg,1661.94,586,12,2,5.67,2,2
53,Sprint Intervals,Precision-engineered Sprint Intervals training method to optimize muscular strength and endurance.,https://example.com/sprint-intervals,4,https://example.com/sprint-intervals-animation.jpg,1350.88,502,15,2,5.38,2,2
54,Tricep Extensions,"Strategically crafted Tricep Extensions exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/tricep-extensions,4,https://example.com/tricep-extensions-animation.jpg,912.5,400,13,2,4.56,2,2
55,Cross-Training Circuits,High-energy Cross-Training Circuits routine targeting comprehensive physical development and performance.,https://example.com/cross-training-circuits,4,https://example.com/cross-training-circuits-animation.jpg,1017.33,488,15,2,4.17,2,2
56,Pilates,"Strategically crafted Pilates exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/pilates,5,https://example.com/pilates-animation.jpg,671.64,459,15,3,4.39,2,2
57,Kettlebell Complex,"Strategically crafted Kettlebell Complex exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/kettlebell-complex,5,https://example.com/kettlebell-complex-animation.jpg,1555.66,561,15,2,5.55,2,2
58,Circuit Training,Intense Circuit Training session focusing on full-body engagement and cardiovascular endurance.,https://example.com/circuit-training,5,https://example.com/circuit-training-animation.jpg,1141.84,510,12,2,4.48,2,2
59,Foam Rolling,High-energy Foam Rolling routine targeting comprehensive physical development and performance.,https://example.com/foam-rolling,5,https://example.com/foam-rolling-animation.jpg,1039.87,536,14,3,5.82,2,2
60,Kettlebell Swings,Intense Kettlebell Swings session focusing on full-body engagement and cardiovascular endurance.,https://example.com/kettlebell-swings,5,https://example.com/kettlebell-swings-animation.jpg,710.58,378,15,3,5.64,2,2
61,Swimming,"Strategically crafted Swimming exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/swimming,6,https://example.com/swimming-animation.jpg,760.36,503,11,3,4.53,2,2
62,Push-ups,Dynamic Push-ups workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/push-ups,6,https://example.com/push-ups-animation.jpg,573.71,418,15,3,4.12,2,2
63,Foam Rolling,Dynamic Foam Rolling workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/foam-rolling,6,https://example.com/foam-rolling-animation.jpg,1070.81,549,11,3,5.85,2,2
64,Pilates,Precision-engineered Pilates training method to optimize muscular strength and endurance.,https://example.com/pilates,6,https://example.com/pilates-animation.jpg,961.29,591,15,3,4.88,2,2
65,Plank Jacks,High-energy Plank Jacks routine targeting comprehensive physical development and performance.,https://example.com/plank-jacks,6,https://example.com/plank-jacks-animation.jpg,992.5,501,10,3,5.94,2,2
66,Pull-ups,Intense Pull-ups session focusing on full-body engagement and cardiovascular endurance.,https://example.com/pull-ups,7,https://example.com/pull-ups-animation.jpg,781.21,428,11,3,5.48,2,2
67,Tabata Intervals,Intense Tabata Intervals session focusing on full-body engagement and cardiovascular endurance.,https://example.com/tabata-intervals,7,https://example.com/tabata-intervals-animation.jpg,1086.61,547,13,3,5.96,2,2
68,Dips,Precision-engineered Dips training method to optimize muscular strength and endurance.,https://example.com/dips,7,https://example.com/dips-animation.jpg,522.32,317,12,3,4.94,2,2
69,Mobility Drills,Dynamic Mobility Drills workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/mobility-drills,7,https://example.com/mobility-drills-animation.jpg,816.53,328,12,2,4.98,2,2
70,Planks,Intense Planks session focusing on full-body engagement and cardiovascular endurance.,https://example.com/planks,7,https://example.com/planks-animation.jpg,855.2,485,14,3,5.29,2,2
71,Swimming,Dynamic Swimming workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/swimming,1,https://example.com/swimming-animation.jpg,1130.46,391,11,2,5.78,3,3
72,Bodyweight Complex,Precision-engineered Bodyweight Complex training method to optimize muscular strength and endurance.,https://example.com/bodyweight-complex,1,https://example.com/bodyweight-complex-animation.jpg,1070.15,494,13,2,4.33,3,3
73,Hollow Body Holds,Dynamic Hollow Body Holds workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/hollow-body-holds,1,https://example.com/hollow-body-holds-animation.jpg,1266.86,485,13,2,5.22,3,3
74,Squats,"Strategically crafted Squats exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/squats,1,https://example.com/squats-animation.jpg,964.13,480,12,2,4.02,3,3
75,Yoga Flow,Precision-engineered Yoga Flow training method to optimize muscular strength and endurance.,https://example.com/yoga-flow,1,https://example.com/yoga-flow-animation.jpg,1212.47,409,12,2,5.93,3,3
76,Squats,Dynamic Squats workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/squats,2,https://example.com/squats-animation.jpg,1371.96,570,10,2,4.81,3,3
77,Rowing,Precision-engineered Rowing training method to optimize muscular strength and endurance.,https://example.com/rowing,2,https://example.com/rowing-animation.jpg,607.81,355,14,3,5.14,3,3
78,Hanging Leg Raises,High-energy Hanging Leg Raises routine targeting comprehensive physical development and performance.,https://example.com/hanging-leg-raises,2,https://example.com/hanging-leg-raises-animation.jpg,659.93,311,12,2,4.24,3,3
79,Jump Rope,High-energy Jump Rope routine targeting comprehensive physical development and performance.,https://example.com/jump-rope,2,https://example.com/jump-rope-animation.jpg,1262.45,550,12,2,4.59,3,3
80,Plank Jacks,Intense Plank Jacks session focusing on full-body engagement and cardiovascular endurance.,https://example.com/plank-jacks,2,https://example.com/plank-jacks-animation.jpg,1446.34,567,15,2,5.1,3,3
81,High Knees,"Strategically crafted High Knees exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/high-knees,3,https://example.com/high-knees-animation.jpg,456.25,312,12,3,4.39,3,3
82,Mobility Drills,Precision-engineered Mobility Drills training method to optimize muscular strength and endurance.,https://example.com/mobility-drills,3,https://example.com/mobility-drills-animation.jpg,508.75,349,14,3,4.37,3,3
83,Side Planks,Intense Side Planks session focusing on full-body engagement and cardiovascular endurance.,https://example.com/side-planks,3,https://example.com/side-planks-animation.jpg,828.95,513,12,3,4.85,3,3
84,Swimming,Precision-engineered Swimming training method to optimize muscular strength and endurance.,https://example.com/swimming,3,https://example.com/swimming-animation.jpg,965.71,387,15,2,4.99,3,3
85,Jump Rope,"Strategically crafted Jump Rope exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/jump-rope,3,https://example.com/jump-rope-animation.jpg,921.96,555,14,3,4.98,3,3
86,Kettlebell Complex,"Strategically crafted Kettlebell Complex exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/kettlebell-complex,4,https://example.com/kettlebell-complex-animation.jpg,1583.37,554,14,2,5.72,3,3
87,Hanging Leg Raises,"Strategically crafted Hanging Leg Raises exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/hanging-leg-raises,4,https://example.com/hanging-leg-raises-animation.jpg,642.44,373,15,3,5.17,3,3
88,Bench Press,Precision-engineered Bench Press training method to optimize muscular strength and endurance.,https://example.com/bench-press,4,https://example.com/bench-press-animation.jpg,572.31,386,12,3,4.45,3,3
89,Leg Raises,"Strategically crafted Leg Raises exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/leg-raises,4,https://example.com/leg-raises-animation.jpg,1319.33,597,11,2,4.42,3,3
90,Ab Rollouts,Dynamic Ab Rollouts workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/ab-rollouts,4,https://example.com/ab-rollouts-animation.jpg,1238.91,573,13,2,4.32,3,3
91,Bicycle Crunches,Intense Bicycle Crunches session focusing on full-body engagement and cardiovascular endurance.,https://example.com/bicycle-crunches,5,https://example.com/bicycle-crunches-animation.jpg,1397.02,554,13,2,5.04,3,3
92,Bird Dogs,"Strategically crafted Bird Dogs exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/bird-dogs,5,https://example.com/bird-dogs-animation.jpg,1114.16,516,11,2,4.32,3,3
93,Plank Variations,Precision-engineered Plank Variations training method to optimize muscular strength and endurance.,https://example.com/plank-variations,5,https://example.com/plank-variations-animation.jpg,1407.9,559,12,2,5.04,3,3
94,Dynamic Stretching,Intense Dynamic Stretching session focusing on full-body engagement and cardiovascular endurance.,https://example.com/dynamic-stretching,5,https://example.com/dynamic-stretching-animation.jpg,1084.28,464,10,2,4.67,3,3
95,Swimming,High-energy Swimming routine targeting comprehensive physical development and performance.,https://example.com/swimming,5,https://example.com/swimming-animation.jpg,1648.28,565,13,2,5.83,3,3
96,Swimming,High-energy Swimming routine targeting comprehensive physical development and performance.,https://example.com/swimming,6,https://example.com/swimming-animation.jpg,1124.73,598,11,3,5.64,3,3
97,Cross-Training Circuits,Intense Cross-Training Circuits session focusing on full-body engagement and cardiovascular endurance.,https://example.com/cross-training-circuits,6,https://example.com/cross-training-circuits-animation.jpg,847.98,469,11,3,5.42,3,3
98,Mobility Drills,"Strategically crafted Mobility Drills exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/mobility-drills,6,https://example.com/mobility-drills-animation.jpg,840.49,443,15,3,5.69,3,3
99,Hollow Body Holds,"Strategically crafted Hollow Body Holds exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/hollow-body-holds,6,https://example.com/hollow-body-holds-animation.jpg,647.07,364,13,3,5.33,3,3
100,Joint Mobility Exercises,Intense Joint Mobility Exercises session focusing on full-body engagement and cardiovascular endurance.,https://example.com/joint-mobility-exercises,6,https://example.com/joint-mobility-exercises-animation.jpg,1356.22,598,12,2,4.54,3,3
101,Sprint Intervals,Precision-engineered Sprint Intervals training method to optimize muscular strength and endurance.,https://example.com/sprint-intervals,7,https://example.com/sprint-intervals-animation.jpg,796.56,447,14,3,5.35,3,3
102,Kettlebell Complex,"Strategically crafted Kettlebell Complex exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/kettlebell-complex,7,https://example.com/kettlebell-complex-animation.jpg,725.48,418,15,3,5.21,3,3
103,Cross-Country Skiing,Intense Cross-Country Skiing session focusing on full-body engagement and cardiovascular endurance.,https://example.com/cross-country-skiing,7,https://example.com/cross-country-skiing-animation.jpg,1293.55,473,12,2,5.47,3,3
104,Plank Variations,Intense Plank Variations session focusing on full-body engagement and cardiovascular endurance.,https://example.com/plank-variations,7,https://example.com/plank-variations-animation.jpg,1135.32,580,15,3,5.87,3,3
105,Resistance Band Exercises,Precision-engineered Resistance Band Exercises training method to optimize muscular strength and endurance.,https://example.com/resistance-band-exercises,7,https://example.com/resistance-band-exercises-animation.jpg,1213.16,568,14,2,4.27,3,3
106,Interval Sprints,Intense Interval Sprints session focusing on full-body engagement and cardiovascular endurance.,https://example.com/interval-sprints,1,https://example.com/interval-sprints-animation.jpg,1482.18,523,10,2,5.67,4,4
107,Side Planks,Precision-engineered Side Planks training method to optimize muscular strength and endurance.,https://example.com/side-planks,1,https://example.com/side-planks-animation.jpg,766.35,303,13,2,5.06,4,4
108,Burpees,Dynamic Burpees workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/burpees,1,https://example.com/burpees-animation.jpg,1287.5,552,13,2,4.66,4,4
109,Foam Rolling,Precision-engineered Foam Rolling training method to optimize muscular strength and endurance.,https://example.com/foam-rolling,1,https://example.com/foam-rolling-animation.jpg,709.99,301,12,2,4.72,4,4
110,Sprint Intervals,Intense Sprint Intervals session focusing on full-body engagement and cardiovascular endurance.,https://example.com/sprint-intervals,1,https://example.com/sprint-intervals-animation.jpg,551.64,401,10,3,4.13,4,4
111,Planks,Precision-engineered Planks training method to optimize muscular strength and endurance.,https://example.com/planks,2,https://example.com/planks-animation.jpg,449.74,336,12,3,4.02,4,4
112,Yoga Flow,High-energy Yoga Flow routine targeting comprehensive physical development and performance.,https://example.com/yoga-flow,2,https://example.com/yoga-flow-animation.jpg,476.03,323,15,3,4.42,4,4
113,Rowing,High-energy Rowing routine targeting comprehensive physical development and performance.,https://example.com/rowing,2,https://example.com/rowing-animation.jpg,463.3,313,15,3,4.44,4,4
114,Stretching Routines,"Strategically crafted Stretching Routines exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/stretching-routines,2,https://example.com/stretching-routines-animation.jpg,1514.42,530,12,2,5.71,4,4
115,Battle Rope Exercises,"Strategically crafted Battle Rope Exercises exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/battle-rope-exercises,2,https://example.com/battle-rope-exercises-animation.jpg,1098.56,545,12,2,4.03,4,4
116,Superman Holds,"Strategically crafted Superman Holds exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/superman-holds,3,https://example.com/superman-holds-animation.jpg,1507.08,514,11,2,5.86,4,4
117,Resistance Band Exercises,"Strategically crafted Resistance Band Exercises exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/resistance-band-exercises,3,https://example.com/resistance-band-exercises-animation.jpg,940.61,563,12,3,5.01,4,4
118,Active Recovery,Dynamic Active Recovery workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/active-recovery,3,https://example.com/active-recovery-animation.jpg,644.59,390,12,3,4.96,4,4
119,Box Jumps,Dynamic Box Jumps workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/box-jumps,3,https://example.com/box-jumps-animation.jpg,1020.85,578,11,3,5.3,4,4
120,Skater Hops,High-energy Skater Hops routine targeting comprehensive physical development and performance.,https://example.com/skater-hops,3,https://example.com/skater-hops-animation.jpg,1590.39,543,10,2,5.86,4,4
121,Bodyweight Complex,Intense Bodyweight Complex session focusing on full-body engagement and cardiovascular endurance.,https://example.com/bodyweight-complex,4,https://example.com/bodyweight-complex-animation.jpg,1423.4,527,13,2,5.4,4,4
122,TRX Suspension Training,High-energy TRX Suspension Training routine targeting comprehensive physical development and performance.,https://example.com/trx-suspension-training,4,https://example.com/trx-suspension-training-animation.jpg,1201.75,555,11,2,4.33,4,4
123,High Knees,Intense High Knees session focusing on full-body engagement and cardiovascular endurance.,https://example.com/high-knees,4,https://example.com/high-knees-animation.jpg,544.68,336,13,3,4.86,4,4
124,Oblique Twists,Intense Oblique Twists session focusing on full-body engagement and cardiovascular endurance.,https://example.com/oblique-twists,4,https://example.com/oblique-twists-animation.jpg,457.81,319,11,3,4.31,4,4
125,Kettlebell Swings,"Strategically crafted Kettlebell Swings exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/kettlebell-swings,4,https://example.com/kettlebell-swings-animation.jpg,817.0,536,12,3,4.57,4,4
126,Deadlifts,Precision-engineered Deadlifts training method to optimize muscular strength and endurance.,https://example.com/deadlifts,5,https://example.com/deadlifts-animation.jpg,1048.57,362,15,2,5.79,4,4
127,TRX Suspension Training,"Strategically crafted TRX Suspension Training exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/trx-suspension-training,5,https://example.com/trx-suspension-training-animation.jpg,622.91,329,10,3,5.68,4,4
128,Dips,Intense Dips session focusing on full-body engagement and cardiovascular endurance.,https://example.com/dips,5,https://example.com/dips-animation.jpg,1426.69,495,15,2,5.76,4,4
129,Oblique Twists,Dynamic Oblique Twists workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/oblique-twists,5,https://example.com/oblique-twists-animation.jpg,993.0,451,15,2,4.4,4,4
130,Sprint Intervals,Precision-engineered Sprint Intervals training method to optimize muscular strength and endurance.,https://example.com/sprint-intervals,5,https://example.com/sprint-intervals-animation.jpg,685.1,345,15,3,5.96,4,4
131,Jump Rope,Intense Jump Rope session focusing on full-body engagement and cardiovascular endurance.,https://example.com/jump-rope,6,https://example.com/jump-rope-animation.jpg,1649.64,594,14,2,5.55,4,4
132,Battle Rope Exercises,"Strategically crafted Battle Rope Exercises exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/battle-rope-exercises,6,https://example.com/battle-rope-exercises-animation.jpg,758.9,314,15,2,4.83,4,4
133,Pilates,Precision-engineered Pilates training method to optimize muscular strength and endurance.,https://example.com/pilates,6,https://example.com/pilates-animation.jpg,1462.1,505,10,2,5.79,4,4
134,Russian Twists,Precision-engineered Russian Twists training method to optimize muscular strength and endurance.,https://example.com/russian-twists,6,https://example.com/russian-twists-animation.jpg,871.42,311,15,2,5.6,4,4
135,Skater Hops,High-energy Skater Hops routine targeting comprehensive physical development and performance.,https://example.com/skater-hops,6,https://example.com/skater-hops-animation.jpg,1268.15,552,14,2,4.59,4,4
136,Burpees,Intense Burpees session focusing on full-body engagement and cardiovascular endurance.,https://example.com/burpees,7,https://example.com/burpees-animation.jpg,527.07,318,10,3,4.97,4,4
137,Hanging Leg Raises,Intense Hanging Leg Raises session focusing on full-body engagement and cardiovascular endurance.,https://example.com/hanging-leg-raises,7,https://example.com/hanging-leg-raises-animation.jpg,596.02,429,14,3,4.17,4,4
138,Rowing,High-energy Rowing routine targeting comprehensive physical development and performance.,https://example.com/rowing,7,https://example.com/rowing-animation.jpg,888.27,582,10,3,4.58,4,4
139,Medicine Ball Slams,Dynamic Medicine Ball Slams workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/medicine-ball-slams,7,https://example.com/medicine-ball-slams-animation.jpg,636.34,369,10,3,5.17,4,4
140,Bodyweight Complex,Dynamic Bodyweight Complex workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/bodyweight-complex,7,https://example.com/bodyweight-complex-animation.jpg,1442.88,573,14,2,5.04,4,4
141,Tai Chi Movements,Intense Tai Chi Movements session focusing on full-body engagement and cardiovascular endurance.,https://example.com/tai-chi-movements,1,https://example.com/tai-chi-movements-animation.jpg,704.22,472,11,3,4.48,5,5
142,Mountain Climbers,Dynamic Mountain Climbers workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/mountain-climbers,1,https://example.com/mountain-climbers-animation.jpg,931.14,324,12,2,5.75,5,5
143,Jump Rope,High-energy Jump Rope routine targeting comprehensive physical development and performance.,https://example.com/jump-rope,1,https://example.com/jump-rope-animation.jpg,947.15,486,11,3,5.85,5,5
